Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel

21.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:17,16:30,16:36,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
21.09.2017,Corso 8,8,N1,14:00,14:14,14:51,14:51,16:06,16:13,2D,KILLER'S BODYGUARD,16,00:36,17:00,2D,BABY DRIVER
21.09.2017,Corso 2,2,N1,14:15,14:31,15:02,15:02,16:03,16:13,3D,"THE LEGO NINJAGO MOVIE ",6,00:36,17:00,3D,"THE LEGO NINJAGO MOVIE "
21.09.2017,Corso 5,5,N1,14:15,14:34,15:15,15:15,16:20,16:29,2D,BARRY SEAL: ONLY IN AMERICA,12,00:35,17:15,2D,BARRY SEAL: ONLY IN AMERICA
21.09.2017,Corso 6,6,N1,14:30,14:47,15:25,15:25,16:14,16:19,3D,"BIGFOOT JUNIOR ",6,01:00,17:30,2D,ANNABELLE 2
21.09.2017,Corso 1,1,N1,14:30,14:45,15:38,15:38,16:08,16:17,3D,"EMOJI: DER FILM ",6,01:02,17:30,2D,BABY DRIVER
21.09.2017,Corso 4,4,N1,14:45,14:58,15:51,15:51,16:25,16:38,2D,BULLYPARADE - DER FILM,6,00:56,17:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
21.09.2017,Corso 7,7,N1,14:45,15:01,15:54,15:54,16:23,16:32,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,01:03,17:45,2D,HEREINSPAZIERT!
21.09.2017,Corso 8,8,N2,17:00,17:14,18:02,18:02,19:03,19:07,2D,BABY DRIVER,16,00:57,20:15,2D,KILLER'S BODYGUARD
21.09.2017,Corso 2,2,N2,17:00,17:16,17:47,17:47,18:48,18:58,3D,"THE LEGO NINJAGO MOVIE ",6,00:51,20:00,2D,BARRY SEAL: ONLY IN AMERICA
21.09.2017,Corso 5,5,N2,17:15,17:34,18:15,18:15,19:20,19:29,2D,BARRY SEAL: ONLY IN AMERICA,12,00:20,20:00,3D,"THE LEGO NINJAGO MOVIE "
21.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:32,19:45,19:51,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
21.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:39,19:30,19:36,2D,ANNABELLE 2,16,00:58,20:45,2D,ANNABELLE 2
21.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:32,19:33,19:37,2D,BABY DRIVER,16,00:27,20:15,2D,THE CIRCLE
21.09.2017,Corso 4,4,N2,17:45,18:01,18:43,18:43,19:34,19:41,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:53,20:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
21.09.2017,Corso 7,7,N2,17:45,18:00,18:49,18:49,19:28,19:33,2D,HEREINSPAZIERT!,6,00:46,20:30,2D,LOGAN LUCKY
21.09.2017,Corso 5,5,HV,20:00,20:18,20:50,20:50,21:51,22:00,3D,"THE LEGO NINJAGO MOVIE ",6,,,,
21.09.2017,Corso 2,2,HV,20:00,20:22,21:03,21:03,22:08,22:17,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
21.09.2017,Corso 1,1,HV,20:15,20:32,21:13,21:13,22:13,22:21,2D,THE CIRCLE,12,,,,
21.09.2017,Corso 8,8,HV,20:15,20:32,21:09,21:09,22:23,22:31,2D,KILLER'S BODYGUARD,16,,,,
21.09.2017,Corso 7,7,HV,20:30,20:48,21:33,21:33,22:43,22:48,2D,LOGAN LUCKY,12,,,,
21.09.2017,Corso 3,3,HV,20:30,20:48,21:50,21:50,23:03,23:09,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
21.09.2017,Corso 6,6,HV,20:45,21:04,21:57,21:57,22:48,22:54,2D,ANNABELLE 2,16,,,,
21.09.2017,Corso 4,4,HV,20:45,21:03,21:46,21:46,22:37,22:44,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,

22.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:17,16:30,16:36,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
22.09.2017,Corso 8,8,N1,14:00,14:14,14:51,14:51,16:06,16:13,2D,KILLER'S BODYGUARD,16,00:36,17:00,2D,BABY DRIVER
22.09.2017,Corso 2,2,N1,14:15,14:31,15:02,15:02,16:03,16:13,3D,"THE LEGO NINJAGO MOVIE ",6,00:36,17:00,3D,"THE LEGO NINJAGO MOVIE "
22.09.2017,Corso 5,5,N1,14:15,14:34,15:15,15:15,16:20,16:29,2D,BARRY SEAL: ONLY IN AMERICA,12,00:35,17:15,2D,BARRY SEAL: ONLY IN AMERICA
22.09.2017,Corso 1,1,N1,14:30,14:45,15:38,15:38,16:08,16:17,3D,"EMOJI: DER FILM ",6,01:02,17:30,2D,BABY DRIVER
22.09.2017,Corso 6,6,N1,14:30,14:47,15:25,15:25,16:14,16:19,3D,"BIGFOOT JUNIOR ",6,01:00,17:30,2D,ANNABELLE 2
22.09.2017,Corso 7,7,N1,14:45,15:01,15:54,15:54,16:23,16:32,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,01:03,17:45,2D,HEREINSPAZIERT!
22.09.2017,Corso 4,4,N1,14:45,14:58,15:51,15:51,16:25,16:38,2D,BULLYPARADE - DER FILM,6,00:56,17:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
22.09.2017,Corso 2,2,N2,17:00,17:16,17:47,17:47,18:48,18:58,3D,"THE LEGO NINJAGO MOVIE ",6,00:51,20:00,2D,BARRY SEAL: ONLY IN AMERICA
22.09.2017,Corso 8,8,N2,17:00,17:14,18:02,18:02,19:03,19:07,2D,BABY DRIVER,16,00:57,20:15,2D,KILLER'S BODYGUARD
22.09.2017,Corso 5,5,N2,17:15,17:34,18:15,18:15,19:20,19:29,2D,BARRY SEAL: ONLY IN AMERICA,12,00:20,20:00,3D,"THE LEGO NINJAGO MOVIE "
22.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:32,19:45,19:51,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:28,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
22.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:32,19:33,19:37,2D,BABY DRIVER,16,00:27,20:15,2D,THE CIRCLE
22.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:39,19:30,19:36,2D,ANNABELLE 2,16,00:58,20:45,2D,ANNABELLE 2
22.09.2017,Corso 4,4,N2,17:45,18:01,18:43,18:43,19:34,19:41,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:53,20:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
22.09.2017,Corso 7,7,N2,17:45,18:00,18:49,18:49,19:28,19:33,2D,HEREINSPAZIERT!,6,00:46,20:30,2D,LOGAN LUCKY
22.09.2017,Corso 2,2,HV,20:00,20:22,21:03,21:03,22:08,22:17,2D,BARRY SEAL: ONLY IN AMERICA,12,00:32,23:00,2D,KINGSMAN: THE GOLDEN CIRCLE
22.09.2017,Corso 5,5,HV,20:00,20:18,20:50,20:50,21:51,22:00,3D,"THE LEGO NINJAGO MOVIE ",6,00:49,23:00,3D,"THE LEGO NINJAGO MOVIE "
22.09.2017,Corso 8,8,HV,20:15,20:32,21:09,21:09,22:23,22:31,2D,KILLER'S BODYGUARD,16,00:33,23:15,2D,KILLER'S BODYGUARD
22.09.2017,Corso 1,1,HV,20:15,20:32,21:13,21:13,22:13,22:21,2D,THE CIRCLE,12,00:43,23:15,2D,BABY DRIVER
22.09.2017,Corso 7,7,HV,20:30,20:48,21:33,21:33,22:43,22:48,2D,LOGAN LUCKY,12,00:31,23:30,2D,LOGAN LUCKY
22.09.2017,Corso 3,3,HV,20:30,20:48,21:50,21:50,23:03,23:09,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:25,23:45,2D,BARRY SEAL: ONLY IN AMERICA
22.09.2017,Corso 6,6,HV,20:45,21:04,21:57,21:57,22:48,22:54,2D,ANNABELLE 2,16,00:25,23:30,2D,ANNABELLE 2
22.09.2017,Corso 4,4,HV,20:45,21:03,21:46,21:46,22:37,22:44,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:50,23:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
22.09.2017,Corso 5,5,SV,23:00,23:18,23:50,23:50,00:51,01:00,3D,"THE LEGO NINJAGO MOVIE ",6,,,,
22.09.2017,Corso 2,2,SV,23:00,23:17,00:19,00:19,01:32,01:39,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
22.09.2017,Corso 1,1,SV,23:15,23:32,00:20,00:20,01:21,01:25,2D,BABY DRIVER,16,,,,
22.09.2017,Corso 8,8,SV,23:15,23:32,00:09,00:09,01:23,01:31,2D,KILLER'S BODYGUARD,16,,,,
22.09.2017,Corso 6,6,SV,23:30,23:49,00:42,00:42,01:33,01:39,2D,ANNABELLE 2,16,,,,
22.09.2017,Corso 7,7,SV,23:30,23:48,00:33,00:33,01:43,01:48,2D,LOGAN LUCKY,12,,,,
22.09.2017,Corso 3,3,SV,23:45,00:07,00:48,00:48,01:53,02:03,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
22.09.2017,Corso 4,4,SV,23:45,00:03,00:46,00:46,01:37,01:44,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,

23.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:29,16:42,16:48,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
23.09.2017,Corso 8,8,N1,14:00,14:18,14:59,15:12,16:17,16:26,2D,BARRY SEAL: ONLY IN AMERICA,12,00:23,17:00,2D,BABY DRIVER
23.09.2017,Corso 2,2,N1,14:15,14:31,15:02,15:14,16:15,16:25,3D,"THE LEGO NINJAGO MOVIE ",6,00:24,17:00,3D,"THE LEGO NINJAGO MOVIE "
23.09.2017,Corso 1,1,N1,14:30,14:45,15:38,15:50,16:20,16:29,3D,"EMOJI: DER FILM ",6,00:50,17:30,2D,BABY DRIVER
23.09.2017,Corso 6,6,N1,14:30,14:47,15:25,15:37,16:26,16:31,3D,"BIGFOOT JUNIOR ",6,00:48,17:30,2D,ANNABELLE 2
23.09.2017,Corso 4,4,N1,14:45,14:58,15:51,16:03,16:37,16:50,2D,BULLYPARADE - DER FILM,6,00:44,17:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
23.09.2017,Corso 7,7,N1,14:45,15:01,15:54,16:06,16:35,16:44,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,00:50,17:45,2D,HEREINSPAZIERT!
23.09.2017,Corso 8,8,N2,17:00,17:14,18:02,18:14,19:15,19:19,2D,BABY DRIVER,16,00:45,20:15,2D,KILLER'S BODYGUARD
23.09.2017,Corso 2,2,N2,17:00,17:16,17:47,17:59,19:00,19:10,3D,"THE LEGO NINJAGO MOVIE ",6,00:39,20:00,2D,BARRY SEAL: ONLY IN AMERICA
23.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:44,19:57,20:03,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
23.09.2017,Corso 5,5,N2,17:15,17:34,18:15,18:27,19:32,19:41,2D,BARRY SEAL: ONLY IN AMERICA,12,00:08,20:00,3D,"THE LEGO NINJAGO MOVIE "
23.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:51,19:42,19:48,2D,ANNABELLE 2,16,00:46,20:45,2D,ANNABELLE 2
23.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:45,19:45,19:49,2D,BABY DRIVER,16,00:15,20:15,2D,THE CIRCLE
23.09.2017,Corso 7,7,N2,17:45,18:00,18:49,19:01,19:40,19:45,2D,HEREINSPAZIERT!,6,00:34,20:30,2D,LOGAN LUCKY
23.09.2017,Corso 4,4,N2,17:45,18:01,18:43,18:56,19:46,19:54,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:41,20:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
23.09.2017,Corso 5,5,HV,20:00,20:18,20:50,21:02,22:03,22:12,3D,"THE LEGO NINJAGO MOVIE ",6,00:37,23:00,3D,"THE LEGO NINJAGO MOVIE "
23.09.2017,Corso 2,2,HV,20:00,20:22,21:03,21:15,22:20,22:30,2D,BARRY SEAL: ONLY IN AMERICA,12,00:19,23:00,2D,KINGSMAN: THE GOLDEN CIRCLE
23.09.2017,Corso 1,1,HV,20:15,20:32,21:13,21:25,22:25,22:34,2D,THE CIRCLE,12,00:30,23:15,2D,BABY DRIVER
23.09.2017,Corso 8,8,HV,20:15,20:32,21:09,21:21,22:36,22:43,2D,KILLER'S BODYGUARD,16,00:21,23:15,2D,KILLER'S BODYGUARD
23.09.2017,Corso 3,3,HV,20:30,20:48,21:50,22:02,23:15,23:21,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:13,23:45,2D,BARRY SEAL: ONLY IN AMERICA
23.09.2017,Corso 7,7,HV,20:30,20:48,21:33,21:45,22:56,23:00,2D,LOGAN LUCKY,12,00:19,23:30,2D,LOGAN LUCKY
23.09.2017,Corso 6,6,HV,20:45,21:04,21:57,22:09,23:00,23:06,2D,ANNABELLE 2,16,00:13,23:30,2D,ANNABELLE 2
23.09.2017,Corso 4,4,HV,20:45,21:03,21:46,21:58,22:49,22:56,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:38,23:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
23.09.2017,Corso 5,5,SV,23:00,23:18,23:50,23:50,00:51,01:00,3D,"THE LEGO NINJAGO MOVIE ",6,,,,
23.09.2017,Corso 2,2,SV,23:00,23:17,00:19,00:19,01:32,01:39,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
23.09.2017,Corso 8,8,SV,23:15,23:32,00:09,00:09,01:23,01:31,2D,KILLER'S BODYGUARD,16,,,,
23.09.2017,Corso 1,1,SV,23:15,23:32,00:20,00:20,01:21,01:25,2D,BABY DRIVER,16,,,,
23.09.2017,Corso 6,6,SV,23:30,23:49,00:42,00:42,01:33,01:39,2D,ANNABELLE 2,16,,,,
23.09.2017,Corso 7,7,SV,23:30,23:48,00:33,00:33,01:43,01:48,2D,LOGAN LUCKY,12,,,,
23.09.2017,Corso 3,3,SV,23:45,00:07,00:48,00:48,01:53,02:03,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
23.09.2017,Corso 4,4,SV,23:45,00:03,00:46,00:46,01:37,01:44,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,

24.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:29,16:42,16:48,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
24.09.2017,Corso 8,8,N1,14:00,14:14,14:51,15:03,16:18,16:25,2D,KILLER'S BODYGUARD,16,00:24,17:00,2D,BABY DRIVER
